Label,Modularity Class
anthropology,0
culture,0
hiking,0
learning,0
philosophy,0
sociology,0
camping,0
city,0
fishing,0
poetry,0
climbing,0
cooking,0
dancing,0
diving,0
instrumentation,0
kayaking,0
style,0
gardening,0
mountain biking,0
psychology,0
skiing,0
traveling,0
family,0
food,0
music,0
park,0
theatre,0
urbanism,0
yoga,0
creativity,0
outdoor,0
sports,0
languages,0
nature,0
painting,0
photography,0
literature,0
science,0
alternative,0
baseball,0
softball,0
books,0
drink,0
english,0
movies,0
running,0
walking,0
ultimate frisbee,0
animals,0
places,0
scuba diving,0
mina,0
skydiving,0
art,0
politics,0
basketball,0
bicycling,0
riding,0
travel,0
fashion,0
german,0
history,0
snowboarding,0
environment,0
italian,0
spanish,0
surfing,0
meditation,0
morning,0
wine,0
writing,0
collecting,0
partying,0
biking,0
farming,0
cycling,0
golf,0
sailing,0
windsurfing,0
animal,0
hobby,0
japanese,0
canoeing,0
backpacking,0
siter,0
hang,0
football,0
savate,0
soccer,0
sport,0
tv,0
water sport,0
breaking,0
dance,0
relationships,0
design,0
health,0
glass,0
language,0
movie,0
architecture,0
boxing,0
fitness,0
human rights,0
martial arts,0
tattoo,0
environmentalism,0
theatre music,0
crochet,0
knitting,0
video games,0
water skiing,0
cinema,0
drawing,0
video,0
badminton,0
tennis,0
arts,0
theater,0
adventure,0
buddhism,0
filmi,0
french,0
guitar,0
international,0
economics,0
mountaineering,0
medicine,0
art music,0
kiteboarding,0
film,0
computer,0
rafting,0
salsa,0
tuba,0
silat,0
boating,0
drinking,0
sewing,0
spiritual,0
tourism,0
card game,0
drums,0
kitesurfing,0
other sports,0
swimming,0
volleyball,0
modern art,0
giga,0
linguistics,0
caving,0
motorcycling,0
smell,0
piano,0
table tennis,0
comics,0
journalism,0
juggling,0
performance,0
portuguese,0
skateboarding,0
wakeboarding,0
rock,0
movie art,0
roller skating,0
geography,0
other languages,0
education,0
rock climbing,0
sanj,0
technology,0
radio,0
country,0
beauty,0
group,0
hockey,0
chill,0
romance,0
art history,0
justice,0
snowshoe,0
birding,0
hobbies,0
ice hockey,0
shoa,0
american football,0
rugby,0
drama,0
music theatre,0
games,0
shopping,0
paragliding,0
local,0
ecology,0
media,0
cricket,0
working out,0
arabic,0
sculpture,0
society,0
spirituality,0
contemporary dance,0
